Division,Incumbent,Result,Margin,predProb,predResult,predMargin,predSwing,predWinner,2-Party-Contest
Newcastle,Labor,0.638,0.138,0.9999998849154603,0.7663493091801731,0.2663493091801731,0.12834930918017307,Labor,Yes
Gippsland,Coalition,0.333,0.16699999999999998,0.9995574449689274,0.3240850085873256,0.17591499141267442,-0.008914991412674489,Coalition,Yes
Menzies,Coalition,0.425,0.07500000000000001,0.9999345939044922,0.6042976169664093,0.10429761696640927,0.1792976169664093,Labor,Yes
Fraser,Labor,0.642,0.14200000000000002,1.0,1.0,0.5,0.35800000000000004,Labor,Yes
Flynn,Coalition,0.413,0.08700000000000002,0.8627165032793112,0.4045222901370679,0.09547770986293208,-0.008477709862932115,Coalition,Yes
Forrest,Coalition,0.354,0.14600000000000002,1.0,0.06777426613447611,0.4322257338655239,-0.28622573386552386,Coalition,Yes
Barton,Labor,0.594,0.09399999999999997,0.9999668975783764,0.621037855902862,0.12103785590286198,0.027037855902862118,Labor,Yes
Curtin,Coalition,0.357,0.14300000000000002,0.9873038932608234,0.2843405415593718,0.21565945844062823,-0.07265945844062827,Coalition,Yes
Hindmarsh,Labor,0.565,0.06499999999999995,0.9929486370954043,0.6380943993531184,0.1380943993531184,0.07309439935311846,Labor,Yes
Watson,Labor,0.635,0.135,0.9999999998357217,0.8315538720689984,0.33155387206899845,0.19655387206899863,Labor,Yes
Monash,Coalition,0.426,0.07400000000000001,0.9999999998643219,0.8839189153550376,0.38391891535503764,0.45791891535503765,Labor,Yes
Moore,Coalition,0.383,0.11699999999999999,0.879724839875086,0.303666528863142,0.196333471136858,-0.07933347113685796,Coalition,Yes
Sydney,Labor,0.687,0.18700000000000006,0.9999979306944691,0.7547855232292539,0.25478552322925385,0.06778552322925391,Labor,Yes
Griffith,Labor,0.529,0.029000000000000026,0.9671503776840082,0.5477643954705914,0.047764395470591414,0.0187643954705915,Labor,Yes
Wide Bay,Coalition,0.369,0.131,0.9666374441662023,0.3073682725179889,0.19263172748201107,-0.06163172748201107,Coalition,Yes
Durack,Coalition,0.352,0.14800000000000002,0.8431712964504572,0.3913159551633461,0.10868404483665389,0.03931595516334607,Coalition,Yes
Maranoa,Coalition,0.0,0.5,1.0,0.0,0.5,0.0,Coalition,Yes
Casey,Coalition,0.454,0.045999999999999985,0.5578323556133902,0.4556982188057634,0.04430178119423661,0.001698218805763263,Coalition,Yes
Lilley,Labor,0.506,0.006000000000000005,0.9999552467179784,0.5697392172539537,0.06973921725395371,0.0637392172539537,Labor,Yes
Wills,Labor,0.582,0.08199999999999996,0.7148086203344632,0.4542695593595862,0.045730440640413816,-0.1277304406404138,Coalition,Yes
Chisholm,Coalition,0.494,0.006000000000000005,0.904719921244498,0.43333663804979233,0.06666336195020767,-0.06066336195020768,Coalition,Yes
Herbert,Coalition,0.416,0.08400000000000002,0.840476598894668,0.5622338157342568,0.06223381573425679,0.14623381573425667,Labor,Yes
Whitlam,Labor,0.609,0.10899999999999999,0.9999968104280845,0.7363482728214109,0.2363482728214109,0.1273482728214108,Labor,Yes
Solomon,Labor,0.531,0.031000000000000028,0.9148546663868811,0.5436586431545943,0.043658643154594334,0.012658643154594307,Labor,Yes
Gellibrand,Labor,0.648,0.14800000000000002,1.0,1.0,0.5,0.3519999999999999,Labor,Yes
McPherson,Labor,0.622,0.122,0.982775988646844,0.6315765941332111,0.1315765941332111,0.009576594133211214,Labor,Yes
Fisher,Coalition,0.373,0.127,0.9158081111947236,0.36408351979026615,0.13591648020973385,-0.008916480209733846,Coalition,Yes
Eden-Monaro,Labor,0.508,0.008000000000000007,0.9712817936504723,0.5663456258863342,0.06634562588633419,0.058345625886334296,Labor,Yes
Cunningham,Labor,0.634,0.134,1.0,1.0,0.5,0.36600000000000005,Labor,Yes
Wentworth,Coalition,0.0,0.5,1.0,0.0,0.5,0.0,Coalition,Yes
Nicholls,Coalition,0.3,0.2,0.9999999999990753,0.09954710476269087,0.40045289523730915,-0.20045289523730905,Coalition,Yes
Maribyrnong,Labor,0.612,0.11199999999999999,0.9989394278399791,0.716234017132981,0.21623401713298096,0.10423401713298086,Labor,Yes
Kooyong,Coalition,0.443,0.056999999999999995,0.5254847469532486,0.45472942704696795,0.04527057295303205,0.011729427046967944,Coalition,Yes
Bean,Labor,0.575,0.07499999999999996,0.9691724027939443,0.5936024561670471,0.0936024561670471,0.018602456167047254,Labor,Yes
Deakin,Coalition,0.452,0.04799999999999999,0.7168110021978623,0.47911131922957834,0.020888680770421664,0.027111319229578157,Coalition,Yes
Brisbane,Coalition,0.451,0.04899999999999999,0.7942286979763288,0.41633900794006445,0.08366099205993555,-0.03466099205993539,Coalition,Yes
Wright,Coalition,0.352,0.14800000000000002,0.9914818531256989,0.36541163570027946,0.13458836429972054,0.013411635700279478,Coalition,Yes
Canberra,Labor,0.671,0.17100000000000004,0.9999936566043912,0.6748446960178595,0.17484469601785946,0.003844696017859306,Labor,Yes
Adelaide,Labor,0.582,0.08199999999999996,0.9974013389931778,0.6477250210067019,0.14772502100670193,0.06572502100670208,Labor,Yes
Fremantle,Labor,0.569,0.06899999999999995,0.9643185848824308,0.5958399644154478,0.09583996441544784,0.026839964415447892,Labor,Yes
Braddon,Coalition,0.469,0.031000000000000028,0.8907432119209708,0.620492634126755,0.12049263412675504,0.15149263412675507,Labor,Yes
Hunter,Labor,0.53,0.030000000000000027,0.8725773175174123,0.6043486789094336,0.10434867890943356,0.07434867890943353,Labor,Yes
Cowan,Labor,0.508,0.008000000000000007,1.0,0.9687090884835073,0.46870908848350734,0.4607090884835073,Labor,Yes
Isaacs,Labor,0.564,0.06399999999999995,0.9751555279047238,0.6143016584375376,0.11430165843753759,0.050301658437537644,Labor,Yes
Bradfield,Coalition,0.334,0.16599999999999998,0.9995765152493487,0.3076331827533014,0.19236681724669857,-0.026366817246698593,Coalition,Yes
Petrie,Coalition,0.416,0.08400000000000002,0.9506260060735325,0.35789302415745544,0.14210697584254456,-0.05810697584254454,Coalition,Yes
Leichhardt,Coalition,0.458,0.04199999999999998,0.9657855989863877,0.3920939468045234,0.10790605319547658,-0.0659060531954766,Coalition,Yes
Aston,Coalition,0.399,0.10099999999999998,0.937134361946378,0.4154882499746026,0.0845117500253974,0.016488249974602576,Coalition,Yes
La Trobe,Coalition,0.455,0.044999999999999984,0.8179267385740749,0.40524831457103255,0.09475168542896745,-0.04975168542896763,Coalition,Yes
Fowler,Labor,0.64,0.14,0.9999980850597214,0.7228518150638575,0.22285181506385754,0.08285181506385753,Labor,Yes
Ballarat,Labor,0.61,0.10999999999999999,0.9999999999981573,0.7557932555682331,0.25579325556823307,0.14579325556823308,Labor,Yes
Swan,Coalition,0.473,0.027000000000000024,0.999998909386431,0.3115230661701039,0.1884769338298961,-0.16147693382989603,Coalition,Yes
Groom,Coalition,0.295,0.20500000000000002,0.9999071411361342,0.32307826057794775,0.17692173942205225,0.02807826057794771,Coalition,Yes
McEwen,Labor,0.55,0.050000000000000044,0.9999999999999853,0.9498905824764029,0.4498905824764029,0.39989058247640247,Labor,Yes
