Division,Incumbent,Result,Margin,predProb,predResult,predMargin,predSwing,predWinner,2-Party-Contest
Swan,Coalition,0.473,0.027000000000000024,0.7732587786894145,0.5460242700034603,0.04602427000346032,0.07302427000346047,Labor,Yes
Hasluck,Coalition,0.446,0.05399999999999999,0.5192624032496835,0.6064283638731521,0.10642836387315213,0.16042836387315226,Labor,Yes
Stirling,Coalition,0.444,0.055999999999999994,0.5673462602845298,0.5270787671532063,0.02707876715320634,0.08307876715320649,Labor,Yes
La Trobe,Coalition,0.455,0.044999999999999984,0.648092156101568,0.5742474323380586,0.07424743233805864,0.11924743233805854,Labor,Yes
Casey,Coalition,0.454,0.045999999999999985,0.676499756934506,0.5555895085011696,0.055589508501169616,0.10158950850116971,Labor,Yes
Dunkley,Labor,0.527,0.027000000000000024,0.8553879422346129,0.4779654766236533,0.022034523376346704,-0.049034523376346825,Coalition,Yes
Richmond,Labor,0.541,0.041000000000000036,0.889766832469999,0.46548023859442567,0.034519761405574334,-0.07551976140557415,Coalition,Yes
Forde,Coalition,0.414,0.08600000000000002,0.8328504551505127,0.5058411089086831,0.005841108908683057,0.09184110890868301,Labor,Yes
Bowman,Coalition,0.398,0.10199999999999998,0.9006895684962216,0.521563953918026,0.021563953918026013,0.12356395391802615,Labor,Yes
Brisbane,Coalition,0.451,0.04899999999999999,0.5563242679216474,0.5292627820318484,0.0292627820318484,0.07826278203184842,Labor,Yes
Longman,Coalition,0.467,0.032999999999999974,0.5042585998240858,0.5437264980397851,0.04372649803978512,0.07672649803978501,Labor,Yes
Hotham,Labor,0.559,0.05900000000000005,0.9605908063281778,0.46860784654784765,0.03139215345215235,-0.09039215345215222,Coalition,Yes
Tangney,Coalition,0.385,0.11499999999999999,0.8438429061735049,0.5426084065613569,0.04260840656135689,0.157608406561357,Labor,Yes
Gilmore,Labor,0.526,0.026000000000000023,0.8225922117916005,0.47481171836980784,0.025188281630192155,-0.05118828163019211,Coalition,Yes
Macquarie,Labor,0.502,0.0020000000000000018,0.671944557628943,0.49179636562060586,0.008203634379394142,-0.010203634379394089,Coalition,Yes
