,nLabor,nLib,nThird,Winner
0,77,68,6,Labor
0,76,69,6,Labor
0,74,71,6,Hung Parliament
0,79,66,6,Labor
0,76,69,6,Labor
0,75,70,6,Hung Parliament
0,78,67,6,Labor
0,76,69,6,Labor
0,77,68,6,Labor
0,81,64,6,Labor
0,75,70,6,Hung Parliament
0,77,68,6,Labor
0,85,60,6,Labor
0,75,70,6,Hung Parliament
0,80,65,6,Labor
0,77,68,6,Labor
0,80,65,6,Labor
0,80,65,6,Labor
0,85,60,6,Labor
0,77,68,6,Labor
0,75,70,6,Hung Parliament
0,78,67,6,Labor
0,81,64,6,Labor
0,70,75,6,Hung Parliament
0,82,63,6,Labor
0,77,68,6,Labor
0,75,70,6,Hung Parliament
0,84,61,6,Labor
0,79,66,6,Labor
0,69,76,6,Coalition
0,74,71,6,Hung Parliament
0,75,70,6,Hung Parliament
0,80,65,6,Labor
0,75,70,6,Hung Parliament
0,82,63,6,Labor
0,76,69,6,Labor
0,75,70,6,Hung Parliament
0,81,64,6,Labor
0,78,67,6,Labor
0,80,65,6,Labor
0,79,66,6,Labor
0,80,65,6,Labor
0,80,65,6,Labor
0,76,69,6,Labor
0,77,68,6,Labor
0,76,69,6,Labor
0,79,66,6,Labor
0,79,66,6,Labor
0,78,67,6,Labor
0,76,69,6,Labor
0,75,70,6,Hung Parliament
0,77,68,6,Labor
0,74,71,6,Hung Parliament
0,77,68,6,Labor
0,81,64,6,Labor
0,76,69,6,Labor
0,82,63,6,Labor
0,80,65,6,Labor
0,80,65,6,Labor
0,82,63,6,Labor
0,76,69,6,Labor
0,83,62,6,Labor
0,81,64,6,Labor
0,71,74,6,Hung Parliament
0,81,64,6,Labor
0,78,67,6,Labor
0,83,62,6,Labor
0,82,63,6,Labor
0,74,71,6,Hung Parliament
0,79,66,6,Labor
0,80,65,6,Labor
0,78,67,6,Labor
0,81,64,6,Labor
0,78,67,6,Labor
0,77,68,6,Labor
0,76,69,6,Labor
0,81,64,6,Labor
0,76,69,6,Labor
0,83,62,6,Labor
0,82,63,6,Labor
0,78,67,6,Labor
0,73,72,6,Hung Parliament
0,81,64,6,Labor
0,81,64,6,Labor
0,76,69,6,Labor
0,74,71,6,Hung Parliament
0,82,63,6,Labor
0,78,67,6,Labor
0,82,63,6,Labor
0,77,68,6,Labor
0,78,67,6,Labor
0,78,67,6,Labor
0,75,70,6,Hung Parliament
0,78,67,6,Labor
0,77,68,6,Labor
0,77,68,6,Labor
0,75,70,6,Hung Parliament
0,77,68,6,Labor
0,77,68,6,Labor
0,74,71,6,Hung Parliament
