Division,Incumbent,Result,Margin,predProb,predResult,predMargin,predSwing,predWinner,2-Party-Contest
Bennelong,Coalition,0.431,0.069,0.8165565907955405,0.5236258222547622,0.023625822254762174,0.09262582225476206,Labor,Yes
Robertson,Coalition,0.458,0.04199999999999998,0.6721614391960195,0.5294045107752499,0.02940451077524986,0.07140451077524972,Labor,Yes
Bass,Coalition,0.496,0.0040000000000000036,0.6502461940573101,0.5023007968965565,0.0023007968965564896,0.006300796896556382,Labor,Yes
Swan,Coalition,0.473,0.027000000000000024,0.7434916502282212,0.6260505172280603,0.12605051722806027,0.15305051722806026,Labor,Yes
Forde,Coalition,0.414,0.08600000000000002,0.8315796286219632,0.5118606441871315,0.011860644187131508,0.09786064418713149,Labor,Yes
Mcmahon,Labor,0.566,0.06599999999999995,0.9548392362810664,0.4765661799317247,0.023433820068275324,-0.0894338200682752,Coalition,Yes
Pearce,Coalition,0.425,0.07500000000000001,0.6528099013513975,0.5102985485917113,0.01029854859171131,0.08529854859171106,Labor,Yes
Leichhardt,Coalition,0.458,0.04199999999999998,0.6049048362302291,0.5260439037657832,0.02604390376578325,0.06804390376578315,Labor,Yes
Dickson,Coalition,0.454,0.045999999999999985,0.6109028005930779,0.6013192576241505,0.1013192576241505,0.14731925762415066,Labor,Yes
O'Connor,Coalition,0.355,0.14500000000000002,0.9690551847130603,0.5302871000978033,0.030287100097803332,0.17528710009780346,Labor,Yes
Blair,Labor,0.512,0.01200000000000001,0.7644779005123656,0.42789617536294505,0.07210382463705495,-0.0841038246370551,Coalition,Yes
Deakin,Coalition,0.452,0.04799999999999999,0.6732168312909865,0.5322282345731765,0.03222823457317647,0.08022823457317635,Labor,Yes
Reid,Coalition,0.468,0.03199999999999997,0.597359252130251,0.5315429771387673,0.0315429771387673,0.06354297713876718,Labor,Yes
Hotham,Labor,0.559,0.05900000000000005,0.9422662401538329,0.47612738014447265,0.023872619855527355,-0.08287261985552742,Coalition,Yes
Braddon,Coalition,0.469,0.031000000000000028,0.542187510263789,0.5441484640830273,0.044148464083027306,0.07514846408302735,Labor,Yes
Stirling,Coalition,0.444,0.055999999999999994,0.5683479388668008,0.5433097228065941,0.043309722806594064,0.09930972280659393,Labor,Yes
Flinders,Coalition,0.444,0.055999999999999994,0.7572915630075516,0.5010934757209047,0.0010934757209046797,0.05709347572090469,Labor,Yes
