Division,Incumbent,Result,Margin,predProb,predResult,predMargin,predSwing,predWinner,2-Party-Contest
Brand,Labor,0.567,0.06699999999999995,0.9730542257785091,0.6063903068680933,0.10639030686809325,0.03939030686809342,Labor,Yes
Canning,Coalition,0.384,0.11599999999999999,0.9032151692074323,0.3930958933489702,0.10690410665102978,0.009095893348970208,Coalition,Yes
Hunter,Labor,0.53,0.030000000000000027,0.8487161889532777,0.5692500052637621,0.06925000526376213,0.03925000526376209,Labor,Yes
Solomon,Labor,0.531,0.031000000000000028,0.8813267618198228,0.6087950012806732,0.10879500128067321,0.07779500128067308,Labor,Yes
Flynn,Coalition,0.413,0.08700000000000002,0.8454023068455658,0.46072539812043184,0.03927460187956816,0.0477253981204319,Coalition,Yes
Higgins,Coalition,0.461,0.03899999999999998,0.6490073758299393,0.43209375045487947,0.06790624954512053,-0.028906249545120718,Coalition,Yes
Maranoa,Coalition,0.0,0.5,1.0,0.08570494250601363,0.4142950574939864,0.08570494250601363,Coalition,Yes
Bennelong,Coalition,0.431,0.069,0.8165565907955405,0.5236258222547622,0.023625822254762174,0.09262582225476206,Labor,Yes
Adelaide,Labor,0.582,0.08199999999999996,0.979753299706849,0.6265158293934767,0.12651582939347672,0.04451582939347667,Labor,Yes
Monash,Coalition,0.426,0.07400000000000001,0.8634753836649993,0.38451288968048475,0.11548711031951525,-0.04148711031951541,Coalition,Yes
Wills,Labor,0.582,0.08199999999999996,0.9858561195889142,0.7005548431162636,0.2005548431162636,0.11855484311626363,Labor,Yes
La Trobe,Coalition,0.455,0.044999999999999984,0.6138904679057064,0.487161936470552,0.012838063529447996,0.032161936470551995,Coalition,Yes
McPherson,Labor,0.622,0.122,0.9988672675597385,0.642186202209965,0.14218620220996503,0.020186202209965032,Labor,Yes
Robertson,Coalition,0.458,0.04199999999999998,0.6721614391960195,0.5294045107752499,0.02940451077524986,0.07140451077524972,Labor,Yes
Casey,Coalition,0.454,0.045999999999999985,0.6807801845222369,0.46911976543565453,0.030880234564345466,0.015119765435654403,Coalition,Yes
Rankin,Labor,0.564,0.06399999999999995,0.9761751218426453,0.6602500019951724,0.16025000199517236,0.09625000199517267,Labor,Yes
Greenway,Labor,0.528,0.028000000000000025,0.8251129342130112,0.6104418653332646,0.11044186533326461,0.08244186533326468,Labor,Yes
Bass,Coalition,0.496,0.0040000000000000036,0.6502461940573101,0.5023007968965565,0.0023007968965564896,0.006300796896556382,Labor,Yes
Petrie,Coalition,0.416,0.08400000000000002,0.8119518634797065,0.4575499764161549,0.04245002358384509,0.04154997641615482,Coalition,Yes
Curtin,Coalition,0.357,0.14300000000000002,0.9452082428421198,0.43091983455446436,0.06908016544553564,0.0739198345544644,Coalition,Yes
Richmond,Labor,0.541,0.041000000000000036,0.864187393246804,0.5976395218642071,0.0976395218642071,0.05663952186420694,Labor,Yes
Herbert,Coalition,0.416,0.08400000000000002,0.8266623922469685,0.4233150348573369,0.0766849651426631,0.007315034857336808,Coalition,Yes
Corio,Labor,0.603,0.10299999999999998,0.991306631920924,0.6471235669730743,0.14712356697307427,0.044123566973074305,Labor,Yes
Gilmore,Labor,0.526,0.026000000000000023,0.8154920123756468,0.513069940188798,0.013069940188798035,-0.012930059811201993,Labor,Yes
Farrer,Coalition,0.0,0.5,1.0,0.05876641708665029,0.4412335829133497,0.05876641708665029,Coalition,Yes
Barton,Labor,0.594,0.09399999999999997,0.9901393103453393,0.6203275435244915,0.12032754352449149,0.02632754352449151,Labor,Yes
Shortland,Labor,0.544,0.04400000000000004,0.9033332529542384,0.519172725271183,0.019172725271182967,-0.024827274728817076,Labor,Yes
Burt,Labor,0.55,0.050000000000000044,0.9815056829291497,0.5963194963191539,0.09631949631915393,0.0463194963191539,Labor,Yes
Isaacs,Labor,0.564,0.06399999999999995,0.946676749171686,0.6438181739772714,0.14381817397727137,0.07981817397727141,Labor,Yes
Fraser,Labor,0.642,0.14200000000000002,0.9996693480643442,0.6372333815668211,0.13723338156682108,-0.004766618433178826,Labor,Yes
Lilley,Labor,0.506,0.006000000000000005,0.8118233619283016,0.5095688620235885,0.009568862023588531,0.003568862023588526,Labor,Yes
Wright,Coalition,0.352,0.14800000000000002,0.9890681118700376,0.25050126125218863,0.24949873874781137,-0.10149873874781143,Coalition,Yes
Mitchell,Coalition,0.314,0.186,0.9995857649538604,0.3676413805802495,0.13235861941975052,0.053641380580249344,Coalition,Yes
Swan,Coalition,0.473,0.027000000000000024,0.7434916502282212,0.6260505172280603,0.12605051722806027,0.15305051722806026,Labor,Yes
Cook,Coalition,0.31,0.19,0.9995284541517879,0.4117589536757039,0.08824104632429608,0.10175895367570399,Coalition,Yes
Mackellar,Coalition,0.368,0.132,0.986565757260117,0.34001432720434527,0.15998567279565473,-0.02798567279565468,Coalition,Yes
North Sydney,Coalition,0.407,0.09300000000000003,0.953110806531585,0.46992534531041796,0.030074654689582037,0.06292534531041813,Coalition,Yes
Forde,Coalition,0.414,0.08600000000000002,0.8315796286219632,0.5118606441871315,0.011860644187131508,0.09786064418713149,Labor,Yes
Paterson,Labor,0.55,0.050000000000000044,0.9251347587125547,0.7115985363043709,0.21159853630437087,0.16159853630437104,Labor,Yes
Mcmahon,Labor,0.566,0.06599999999999995,0.9548392362810664,0.4765661799317247,0.023433820068275324,-0.0894338200682752,Coalition,Yes
Goldstein,Coalition,0.422,0.07800000000000001,0.8183304076696531,0.39169309749100123,0.10830690250899877,-0.030306902508998642,Coalition,Yes
Mallee,Coalition,0.338,0.16199999999999998,0.9972647062114909,0.2746187443599385,0.2253812556400615,-0.06338125564006145,Coalition,Yes
Moreton,Labor,0.519,0.019000000000000017,0.8240485760218472,0.5593419531244643,0.05934195312446433,0.040341953124464085,Labor,Yes
Gorton,Labor,0.654,0.15400000000000003,0.9998362393529316,0.6352414063195004,0.13524140631950043,-0.018758593680499588,Labor,Yes
Fowler,Labor,0.64,0.14,0.9994201522135984,0.7361761640115718,0.23617616401157182,0.09617616401157193,Labor,Yes
Pearce,Coalition,0.425,0.07500000000000001,0.6528099013513975,0.5102985485917113,0.01029854859171131,0.08529854859171106,Labor,Yes
Menzies,Coalition,0.425,0.07500000000000001,0.8671724715022789,0.46937375579816637,0.03062624420183363,0.04437375579816649,Coalition,Yes
Franklin,Labor,0.622,0.122,0.9980539991281487,0.6597291506421802,0.15972915064218018,0.03772915064218019,Labor,Yes
Fremantle,Labor,0.569,0.06899999999999995,0.993845743209071,0.5880241696026608,0.0880241696026608,0.019024169602660842,Labor,Yes
