,nLabor,nLib,nThird,Winner
0,81,64,6,Labor
1,85,60,6,Labor
2,79,66,6,Labor
3,86,59,6,Labor
4,87,58,6,Labor
5,79,66,6,Labor
6,93,52,6,Labor
7,79,66,6,Labor
8,80,65,6,Labor
9,81,64,6,Labor
10,83,62,6,Labor
11,87,58,6,Labor
12,89,56,6,Labor
13,83,62,6,Labor
14,87,58,6,Labor
15,82,63,6,Labor
16,89,56,6,Labor
17,78,67,6,Labor
18,70,75,6,Hung
19,90,55,6,Labor
20,63,82,6,Coalition
21,87,58,6,Labor
22,84,61,6,Labor
23,83,62,6,Labor
24,90,55,6,Labor
25,92,53,6,Labor
26,75,70,6,Hung
27,92,53,6,Labor
28,85,60,6,Labor
29,94,51,6,Labor
30,90,55,6,Labor
31,87,58,6,Labor
32,92,53,6,Labor
33,89,56,6,Labor
34,84,61,6,Labor
35,95,50,6,Labor
36,77,68,6,Labor
37,81,64,6,Labor
38,86,59,6,Labor
39,84,61,6,Labor
40,80,65,6,Labor
41,83,62,6,Labor
42,84,61,6,Labor
43,84,61,6,Labor
44,78,67,6,Labor
45,82,63,6,Labor
46,93,52,6,Labor
47,83,62,6,Labor
48,85,60,6,Labor
49,90,55,6,Labor
50,70,75,6,Hung
51,71,74,6,Hung
52,81,64,6,Labor
53,80,65,6,Labor
54,86,59,6,Labor
55,93,52,6,Labor
56,86,59,6,Labor
57,80,65,6,Labor
58,94,51,6,Labor
59,73,72,6,Hung
60,88,57,6,Labor
61,83,62,6,Labor
62,88,57,6,Labor
63,84,61,6,Labor
64,71,74,6,Hung
65,77,68,6,Labor
66,85,60,6,Labor
67,92,53,6,Labor
68,99,46,6,Labor
69,86,59,6,Labor
70,79,66,6,Labor
71,80,65,6,Labor
72,85,60,6,Labor
73,68,77,6,Coalition
74,91,54,6,Labor
75,76,69,6,Labor
76,90,55,6,Labor
77,82,63,6,Labor
78,84,61,6,Labor
79,83,62,6,Labor
80,85,60,6,Labor
81,83,62,6,Labor
82,86,59,6,Labor
83,82,63,6,Labor
84,93,52,6,Labor
85,78,67,6,Labor
86,82,63,6,Labor
87,88,57,6,Labor
88,83,62,6,Labor
89,83,62,6,Labor
90,88,57,6,Labor
91,86,59,6,Labor
92,92,53,6,Labor
93,90,55,6,Labor
94,92,53,6,Labor
95,80,65,6,Labor
96,74,71,6,Hung
97,75,70,6,Hung
98,84,61,6,Labor
99,91,54,6,Labor
