,nLabor,nLib,nThird,Winner
0,0,145,6,Coalition
1,0,145,6,Coalition
2,0,145,6,Coalition
3,0,145,6,Coalition
4,0,145,6,Coalition
5,0,145,6,Coalition
6,0,145,6,Coalition
7,0,145,6,Coalition
8,0,145,6,Coalition
9,0,145,6,Coalition
10,0,145,6,Coalition
11,0,145,6,Coalition
12,0,145,6,Coalition
13,0,145,6,Coalition
14,0,145,6,Coalition
15,0,145,6,Coalition
16,0,145,6,Coalition
17,0,145,6,Coalition
18,0,145,6,Coalition
19,0,145,6,Coalition
20,0,145,6,Coalition
21,0,145,6,Coalition
22,0,145,6,Coalition
23,0,145,6,Coalition
24,0,145,6,Coalition
25,0,145,6,Coalition
26,0,145,6,Coalition
27,0,145,6,Coalition
28,0,145,6,Coalition
29,0,145,6,Coalition
30,0,145,6,Coalition
31,0,145,6,Coalition
32,0,145,6,Coalition
33,0,145,6,Coalition
34,0,145,6,Coalition
35,0,145,6,Coalition
36,0,145,6,Coalition
37,0,145,6,Coalition
38,0,145,6,Coalition
39,0,145,6,Coalition
40,0,145,6,Coalition
41,0,145,6,Coalition
42,0,145,6,Coalition
43,0,145,6,Coalition
44,0,145,6,Coalition
45,0,145,6,Coalition
46,0,145,6,Coalition
47,0,145,6,Coalition
48,0,145,6,Coalition
49,0,145,6,Coalition
50,0,145,6,Coalition
51,0,145,6,Coalition
52,0,145,6,Coalition
53,0,145,6,Coalition
54,0,145,6,Coalition
55,0,145,6,Coalition
56,0,145,6,Coalition
57,0,145,6,Coalition
58,0,145,6,Coalition
59,0,145,6,Coalition
60,0,145,6,Coalition
61,0,145,6,Coalition
62,0,145,6,Coalition
63,0,145,6,Coalition
64,0,145,6,Coalition
65,0,145,6,Coalition
66,0,145,6,Coalition
67,0,145,6,Coalition
68,0,145,6,Coalition
69,0,145,6,Coalition
70,0,145,6,Coalition
71,0,145,6,Coalition
72,0,145,6,Coalition
73,0,145,6,Coalition
74,0,145,6,Coalition
75,0,145,6,Coalition
76,0,145,6,Coalition
77,0,145,6,Coalition
78,0,145,6,Coalition
79,0,145,6,Coalition
80,0,145,6,Coalition
81,0,145,6,Coalition
82,0,145,6,Coalition
83,0,145,6,Coalition
84,0,145,6,Coalition
85,0,145,6,Coalition
86,0,145,6,Coalition
87,0,145,6,Coalition
88,0,145,6,Coalition
89,0,145,6,Coalition
90,0,145,6,Coalition
91,0,145,6,Coalition
92,0,145,6,Coalition
93,0,145,6,Coalition
94,0,145,6,Coalition
95,0,145,6,Coalition
96,0,145,6,Coalition
97,0,145,6,Coalition
98,0,145,6,Coalition
99,0,145,6,Coalition
100,0,145,6,Coalition
101,0,145,6,Coalition
102,0,145,6,Coalition
103,0,145,6,Coalition
104,0,145,6,Coalition
105,0,145,6,Coalition
106,0,145,6,Coalition
107,0,145,6,Coalition
108,0,145,6,Coalition
109,0,145,6,Coalition
