labels,labor,coalition,hung
2020-01-01,12,58,30
2020-01-08,7,61,32
2020-01-15,25,42,33
2020-01-22,28,37,35
2020-01-29,18,49,33
2020-02-05,49,18,33
2020-02-12,53,12,35
2020-02-19,59,15,26
2020-02-26,55,12,33
2020-03-04,51,21,28
2020-03-11,46,14,40
2020-03-18,54,19,27
2020-03-25,60,19,21
2020-04-01,46,25,29
2020-04-08,39,19,42
2020-04-15,41,24,35
2020-04-22,38,25,37
2020-04-29,24,41,35
2020-05-06,32,37,31
2020-05-13,15,52,33
2020-05-20,16,49,35
2020-05-27,20,48,32
2020-06-03,12,59,29
2020-06-10,12,59,29
2020-06-17,16,42,42
2020-06-24,20,56,24
2020-07-01,14,48,38
2020-07-08,12,55,33
2020-07-15,22,41,37
2020-07-22,9,63,28
2020-07-29,14,53,33
2020-08-05,20,54,26
2020-08-12,12,58,30
2020-08-19,7,69,24
2020-08-26,16,57,27
2020-09-02,8,62,30
2020-09-09,19,56,25
2020-09-16,15,56,29
2020-09-23,15,62,23
2020-09-30,10,64,26
2020-10-07,8,74,18
2020-10-14,5,70,25
2020-10-21,13,66,21
2020-10-28,11,68,21
2020-11-04,12,56,32
2020-11-11,14,61,25
2020-11-18,16,54,30
2020-11-25,15,53,32
2020-12-02,12,57,31
2020-12-09,7,64,29
2020-12-16,18,59,23
2020-12-23,16,62,22
2020-12-30,13,55,32
2021-01-06,18,53,29
2021-01-13,14,53,33
2021-01-20,7,69,24
2021-01-27,11,54,35
2021-02-03,22,43,35
2021-02-10,23,48,29
2021-02-17,29,39,32
2021-02-24,20,43,37
2021-03-03,21,44,35
2021-03-10,28,40,32
2021-03-17,21,36,43
2021-03-24,32,31,37
2021-03-31,42,29,29
2021-04-07,33,33,34
2021-04-14,45,22,33
2021-04-21,40,31,29
2021-04-28,29,29,42
2021-05-05,37,29,34
2021-05-12,41,27,32
2021-05-19,42,21,37
2021-05-26,46,17,37
2021-06-02,36,25,39
2021-06-09,48,25,27
2021-06-16,44,20,36
2021-06-23,41,21,38
2021-06-30,45,22,33
2021-07-07,43,23,34
2021-07-14,41,24,35
2021-07-21,53,20,27
2021-07-28,55,12,33
2021-08-04,55,12,33
2021-08-11,62,14,24
2021-08-18,65,8,27
2021-08-25,54,18,28
2021-09-01,57,14,29
2021-09-08,58,15,27
2021-09-15,59,19,22
2021-09-22,51,18,31
2021-09-29,49,19,32
2021-10-06,56,17,27
2021-10-13,52,14,34
2021-10-20,56,11,33
2021-10-27,63,10,27
2021-11-03,54,14,32
2021-11-10,58,11,31
2021-11-17,54,13,33
2021-11-24,63,22,15
2021-12-01,59,15,26
2021-12-08,51,11,38
2021-12-15,72,4,24
2021-12-22,72,10,18
2021-12-29,52,18,30
2022-01-05,63,14,23
2022-01-12,66,10,24
2022-01-19,65,11,24
2022-01-26,66,12,22
2022-02-02,74,8,18
2022-02-09,73,8,19
2022-02-16,79,5,16
2022-02-23,81,2,17
2022-03-02,88,2,10
2022-03-09,85,0,15
2022-03-16,94,2,4
2022-03-23,94,1,5
2022-03-30,87,3,10
2022-04-06,91,2,7
