labels,labor,coalition
2020-01-01,49.3,50.7
2020-01-08,49.2,50.8
2020-01-15,50.1,49.9
2020-01-22,50.2,49.8
2020-01-29,50.1,49.9
2020-02-05,51.2,48.8
2020-02-12,51.7,48.3
2020-02-19,51.5,48.5
2020-02-26,51.4,48.6
2020-03-04,51.1,48.9
2020-03-11,51.2,48.8
2020-03-18,51.5,48.5
2020-03-25,51.2,48.8
2020-04-01,51.2,48.8
2020-04-08,51.0,49.0
2020-04-15,50.9,49.1
2020-04-22,50.9,49.1
2020-04-29,50.0,50.0
2020-05-06,50.0,50.0
2020-05-13,49.5,50.5
2020-05-20,49.8,50.2
2020-05-27,49.6,50.4
2020-06-03,49.5,50.5
2020-06-10,49.4,50.6
2020-06-17,49.8,50.2
2020-06-24,49.6,50.4
2020-07-01,49.8,50.2
2020-07-08,49.5,50.5
2020-07-15,49.9,50.1
2020-07-22,49.3,50.7
2020-07-29,49.6,50.4
2020-08-05,49.7,50.3
2020-08-12,49.5,50.5
2020-08-19,48.9,51.1
2020-08-26,49.4,50.6
2020-09-02,49.3,50.7
2020-09-09,49.4,50.6
2020-09-16,49.4,50.6
2020-09-23,49.1,50.9
2020-09-30,49.0,51.0
2020-10-07,49.0,51.0
2020-10-14,48.8,51.2
2020-10-21,48.9,51.1
2020-10-28,49.1,50.9
2020-11-04,49.3,50.7
2020-11-11,49.2,50.8
2020-11-18,49.6,50.4
2020-11-25,49.4,50.6
2020-12-02,49.2,50.8
2020-12-09,49.3,50.7
2020-12-16,49.6,50.4
2020-12-23,49.4,50.6
2020-12-30,49.4,50.6
2021-01-06,49.7,50.3
2021-01-13,49.4,50.6
2021-01-20,49.0,51.0
2021-01-27,49.3,50.7
2021-02-03,50.0,50.0
2021-02-10,50.0,50.0
2021-02-17,50.3,49.7
2021-02-24,50.1,49.9
2021-03-03,50.2,49.8
2021-03-10,50.3,49.7
2021-03-17,50.1,49.9
2021-03-24,50.5,49.5
2021-03-31,50.8,49.2
2021-04-07,50.6,49.4
2021-04-14,50.9,49.1
2021-04-21,50.8,49.2
2021-04-28,50.5,49.5
2021-05-05,50.6,49.4
2021-05-12,50.7,49.3
2021-05-19,51.1,48.9
2021-05-26,51.0,49.0
2021-06-02,50.9,49.1
2021-06-09,51.1,48.9
2021-06-16,50.9,49.1
2021-06-23,50.9,49.1
2021-06-30,51.1,48.9
2021-07-07,51.0,49.0
2021-07-14,51.1,48.9
2021-07-21,51.5,48.5
2021-07-28,51.6,48.4
2021-08-04,51.6,48.4
2021-08-11,51.7,48.3
2021-08-18,51.8,48.2
2021-08-25,51.4,48.6
2021-09-01,51.6,48.4
2021-09-08,51.6,48.4
2021-09-15,51.5,48.5
2021-09-22,51.3,48.7
2021-09-29,51.3,48.7
2021-10-06,51.4,48.6
2021-10-13,51.6,48.4
2021-10-20,51.6,48.4
2021-10-27,51.6,48.4
2021-11-03,51.4,48.6
2021-11-10,51.6,48.4
2021-11-17,51.5,48.5
2021-11-24,51.8,48.2
2021-12-01,51.7,48.3
2021-12-08,51.7,48.3
2021-12-15,52.1,47.9
2021-12-22,52.2,47.8
2021-12-29,51.6,48.4
2022-01-05,51.8,48.2
2022-01-12,51.6,48.4
2022-01-19,51.9,48.1
2022-01-26,52.0,48.0
2022-02-02,52.2,47.8
2022-02-09,52.5,47.5
2022-02-16,52.8,47.2
2022-02-23,52.9,47.1
2022-03-02,52.8,47.2
2022-03-09,53.1,46.9
2022-03-16,53.4,46.6
2022-03-23,53.5,46.5
2022-03-30,53.2,46.8
2022-04-06,53.7,46.3
2022-04-10,53.4,46.6
