Division,Result19,Result16,Result13,State,Region,2-Party-Contest
Adelaide,0.582,0.583,0.5395,SA,City,Yes
Aston,0.399,0.426,0.418,VIC,Suburban,Yes
Ballarat,0.61,0.574,0.5489,VIC,Suburban,Yes
Banks,0.437,0.485,0.4817,NSW,City,Yes
Barker,0.311,0.466,0.3345,SA,Suburban,Yes
Barton,0.594,0.583,0.4969,NSW,City,Yes
Bass,0.496,0.554,0.4596,TAS,Regional,Yes
Bean,0.575,0.588,0.588,ACT,Suburban,Yes
Bendigo,0.59,0.538,0.7098,VIC,Regional,Yes
Bennelong,0.431,0.403,0.5126,NSW,City,Yes
Berowra,0.344,0.336,0.4223,NSW,Suburban,Yes
Blair,0.512,0.581,0.3093,QLD,Regional,Yes
Blaxland,0.647,0.695,0.5526,NSW,City,Yes
Bonner,0.426,0.466,0.6143,QLD,Suburban,Yes
Boothby,0.486,0.473,0.4631,SA,Suburban,Yes
Bowman,0.398,0.43,0.4288,QLD,Suburban,Yes
Braddon,0.469,0.517,0.4114,TAS,Regional,Yes
Bradfield,0.334,0.289,0.4744,NSW,City,Yes
Brand,0.567,0.615,0.2922,WA,Suburban,Yes
Brisbane,0.451,0.44,0.5288,QLD,City,Yes
Bruce,0.642,0.641,0.4572,VIC,Suburban,Yes
Burt,0.55,0.571,0.518,WA,Suburban,Yes
Calare,0.367,0.382,0.3403,NSW,Regional,Yes
Calwell,0.688,0.697,0.6386,VIC,Suburban,Yes
Canberra,0.671,0.63,0.5698,ACT,City,Yes
Canning,0.384,0.432,0.3819,WA,Suburban,Yes
Capricornia,0.376,0.493,0.4923,QLD,Regional,Yes
Casey,0.454,0.455,0.4283,VIC,Regional,Yes
Chifley,0.624,0.692,0.5923,NSW,Suburban,Yes
Chisholm,0.494,0.471,0.6055,VIC,City,Yes
Clark,0.279,0.322,0.516,TAS,City,No
Cook,0.31,0.346,0.3365,NSW,City,Yes
Cooper,0.646,0.512,0.4606,VIC,City,Yes
Corangamite,0.511,0.501,0.5775,VIC,Regional,Yes
Corio,0.603,0.582,0.4254,VIC,Regional,Yes
Cowan,0.508,0.506,0.3829,WA,Suburban,Yes
Cowper,0,0.022,0.5988,NSW,Regional,Yes
Cunningham,0.634,0.633,0.3258,NSW,Regional,Yes
Curtin,0.357,0.293,0.4242,WA,City,Yes
Dawson,0.354,0.466,0.4682,QLD,Regional,Yes
Deakin,0.452,0.435,0.5891,VIC,Suburban,Yes
Dickson,0.454,0.483,0.4328,QLD,Suburban,Yes
Dobell,0.515,0.548,0.4932,NSW,Regional,Yes
Dunkley,0.527,0.51,0.4443,VIC,Suburban,Yes
Durack,0.352,0.389,0.3512,WA,Regional,Yes
Eden-Monaro,0.508,0.529,0.4939,NSW,Regional,Yes
Fadden,0.358,0.387,0.3564,QLD,Suburban,Yes
