Division,Result19,State,Prediction,,,,
Bean,0.575,ACT,Labor,,,,
Canberra,0.671,ACT,Labor,,,,
Fenner,0.61,ACT,Labor,,,,
Banks,0.437,NSW,Coalition,,,,
Barton,0.594,NSW,Labor,,,,
Bennelong,0.431,NSW,Coalition,,,,
Berowra,0.344,NSW,Coalition,,,,
Blaxland,0.647,NSW,Labor,,,,
Bradfield,0.334,NSW,Coalition,,,,
Calare,0.367,NSW,Coalition,,,,
Chifley,0.624,NSW,Labor,,,,
Cook,0.31,NSW,Coalition,,,,
Cowper,0,NSW,Coalition,,,,
Cunningham,0.634,NSW,Labor,,,,
Dobell,0.515,NSW,Labor,,,,
Eden-Monaro,0.508,NSW,Labor,,,,
Farrer,0,NSW,Coalition,,,,
Fowler,0.64,NSW,Labor,,,,
Gilmore,0.526,NSW,Labor,,,,
Grayndler,0.663,NSW,Labor,,,,
Greenway,0.528,NSW,Labor,,,,
Hughes,0.402,NSW,Coalition,,,,
Hume,0.37,NSW,Coalition,,,,
Hunter,0.53,NSW,Labor,,,,
Kingsford Smith,0.588,NSW,Labor,,,,
Lindsay,0.45,NSW,Coalition,,,,
Lyne,0.348,NSW,Coalition,,,,
Macarthur,0.584,NSW,Labor,,,,
Mackellar,0.368,NSW,Coalition,,,,
Macquarie,0.502,NSW,Labor,,,,
Mcmahon,0.566,NSW,Labor,,,,
Mitchell,0.314,NSW,Coalition,,,,
New England,0,NSW,Coalition,,,,
Newcastle,0.638,NSW,Labor,,,,
North Sydney,0.407,NSW,Coalition,,,,
Page,0.406,NSW,Coalition,,,,
Parkes,0.331,NSW,Coalition,,,,
Parramatta,0.535,NSW,Labor,,,,
Paterson,0.55,NSW,Labor,,,,
Reid,0.468,NSW,Coalition,,,,
Richmond,0.541,NSW,Labor,,,,
Riverina,0.305,NSW,Coalition,,,,
Robertson,0.458,NSW,Coalition,,,,
Shortland,0.544,NSW,Labor,,,,
Sydney,0.687,NSW,Labor,,,,
Warringah,0,NSW,Coalition,,,,
Watson,0.635,NSW,Labor,,,,
Wentworth,0,NSW,Coalition,,,,
Werriwa,0.555,NSW,Labor,,,,
Whitlam,0.609,NSW,Labor,,,,
Lingiari,0.555,NT,Labor,,,,
Solomon,0.531,NT,Labor,,,,
Blair,0.512,QLD,Labor,,,,
Bonner,0.426,QLD,Coalition,,,,
Bowman,0.398,QLD,Coalition,,,,
Brisbane,0.451,QLD,Coalition,,,,
Capricornia,0.376,QLD,Coalition,,,,
Dawson,0.354,QLD,Coalition,,,,
Dickson,0.454,QLD,Coalition,,,,
Fadden,0.358,QLD,Coalition,,,,
Fairfax,0.366,QLD,Coalition,,,,
Fisher,0.373,QLD,Coalition,,,,
Flynn,0.413,QLD,Coalition,,,,
Forde,0.414,QLD,Coalition,,,,
Griffith,0.529,QLD,Labor,,,,
Groom,0.295,QLD,Coalition,,,,
Herbert,0.416,QLD,Coalition,,,,
Hinkler,0.355,QLD,Coalition,,,,
Kennedy,0,QLD,Coalition,,,,
Leichhardt,0.458,QLD,Coalition,,,,
Lilley,0.506,QLD,Labor,,,,
Longman,0.467,QLD,Coalition,,,,
Maranoa,0,QLD,Coalition,,,,
McPherson,0.622,QLD,Labor,,,,
Moncrieff,0.346,QLD,Coalition,,,,
Moreton,0.519,QLD,Labor,,,,
Oxley,0.564,QLD,Labor,,,,
Petrie,0.416,QLD,Coalition,,,,
Rankin,0.564,QLD,Labor,,,,
Ryan,0.44,QLD,Coalition,,,,
Wide Bay,0.369,QLD,Coalition,,,,
Wright,0.352,QLD,Coalition,,,,
Adelaide,0.582,SA,Labor,,,,
Barker,0.311,SA,Coalition,,,,
Boothby,0.486,SA,Coalition,,,,
Grey,0.367,SA,Coalition,,,,
Hindmarsh,0.565,SA,Labor,,,,
Makin,0.597,SA,Labor,,,,
Mayo,0,SA,Coalition,,,,
Spence,0.641,SA,Labor,,,,
Sturt,0.431,SA,Coalition,,,,
Bass,0.496,TAS,Coalition,,,,
Braddon,0.469,TAS,Coalition,,,,
Clark,0.279,TAS,Coalition,,,,
Franklin,0.622,TAS,Labor,,,,
Lyons,0.552,TAS,Labor,,,,
Aston,0.399,VIC,Coalition,,,,
Ballarat,0.61,VIC,Labor,,,,
Bendigo,0.59,VIC,Labor,,,,
Bruce,0.642,VIC,Labor,,,,
Calwell,0.688,VIC,Labor,,,,
Casey,0.454,VIC,Coalition,,,,
Chisholm,0.494,VIC,Coalition,,,,
Cooper,0.646,VIC,Labor,,,,
Corangamite,0.511,VIC,Labor,,,,
Corio,0.603,VIC,Labor,,,,
Deakin,0.452,VIC,Coalition,,,,
Dunkley,0.527,VIC,Labor,,,,
Flinders,0.444,VIC,Coalition,,,,
Fraser,0.642,VIC,Labor,,,,
Gellibrand,0.648,VIC,Labor,,,,
Gippsland,0.333,VIC,Coalition,,,,
Goldstein,0.422,VIC,Coalition,,,,
Gorton,0.654,VIC,Labor,,,,
Higgins,0.461,VIC,Coalition,,,,
Holt,0.587,VIC,Labor,,,,
Hotham,0.559,VIC,Labor,,,,
Indi,0,VIC,Coalition,,,,
Isaacs,0.564,VIC,Labor,,,,
Jagajaga,0.566,VIC,Labor,,,,
Kooyong,0.443,VIC,Coalition,,,,
La Trobe,0.455,VIC,Coalition,,,,
Lalor,0.624,VIC,Labor,,,,
Macnamara,0.562,VIC,Labor,,,,
Mallee,0.338,VIC,Coalition,,,,
Maribyrnong,0.612,VIC,Labor,,,,
McEwen,0.55,VIC,Labor,,,,
Melbourne,0.718,VIC,Labor,,,,
Menzies,0.425,VIC,Coalition,,,,
Monash,0.426,VIC,Coalition,,,,
Nicholls,0.3,VIC,Coalition,,,,
Scullin,0.717,VIC,Labor,,,,
Wannon,0.396,VIC,Coalition,,,,
Wills,0.582,VIC,Labor,,,,
Brand,0.567,WA,Labor,,,,
Burt,0.55,WA,Labor,,,,
Canning,0.384,WA,Coalition,,,,
Cowan,0.508,WA,Labor,,,,
Curtin,0.357,WA,Coalition,,,,
Durack,0.352,WA,Coalition,,,,
Forrest,0.354,WA,Coalition,,,,
Fremantle,0.569,WA,Labor,,,,
Hasluck,0.446,WA,Coalition,,,,
Kingston,0.619,WA,Labor,,,,
Moore,0.383,WA,Coalition,,,,
O'Connor,0.355,WA,Coalition,,,,
Pearce,0.425,WA,Coalition,,,,
Perth,0.549,WA,Labor,,,,
Stirling,0.444,WA,Coalition,,,,
Swan,0.473,WA,Coalition,,,,
Tangney,0.385,WA,Coalition,,,,
