Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,IND,UND
2016-06-28,2016-07-10,Essential,N/A,NAT,2000,0.41,0.36,0.1,0.06,0.07,0
2016-07-05,2016-07-17,Essential,N/A,NAT,2000,0.39,0.36,0.1,0.06,0.09,0
2016-07-13,2016-07-25,Essential,N/A,NAT,2000,0.39,0.37,0.1,0.06,0.08,0
2016-07-21,2016-08-01,Essential,N/A,NAT,2000,0.39,0.37,0.1,0.06,0.08,0
2016-07-29,2016-08-08,Essential,N/A,NAT,2000,0.4,0.37,0.1,0.06,0.07,0
2016-08-05,2016-08-15,Essential,N/A,NAT,2000,0.39,0.37,0.1,0.06,0.08,0
2016-08-12,2016-08-22,Essential,N/A,NAT,2000,0.39,0.36,0.1,0.06,0.09,0
2016-08-25,2016-08-28,Newspoll,N/A,NAT,1696,0.41,0.36,0.09,0.06,0.08,0
2016-08-19,2016-08-29,Essential,N/A,NAT,2000,0.4,0.37,0.1,0.06,0.07,0
2016-08-26,2016-09-05,Essential,N/A,NAT,2000,0.39,0.37,0.1,0.05,0.09,0
2016-09-08,2016-09-11,Newspoll,N/A,NAT,1680,0.41,0.36,0.09,0.06,0.08,0
2016-09-02,2016-09-12,Essential,N/A,NAT,2000,0.38,0.37,0.1,0.05,0.1,0
2016-09-09,2016-09-19,Essential,N/A,NAT,2000,0.37,0.37,0.1,0.06,0.1,0
2016-09-22,2016-09-25,Newspoll,N/A,NAT,1662,0.41,0.36,0.09,0.06,0.08,0
2016-09-16,2016-09-26,Essential,N/A,NAT,2000,0.39,0.36,0.09,0.06,0.1,0
2016-09-23,2016-10-03,Essential,N/A,NAT,2000,0.4,0.36,0.08,0.06,0.1,0
2016-10-06,2016-10-09,Newspoll,N/A,NAT,1622,0.39,0.36,0.1,0.06,0.09,0
2016-09-30,2016-10-10,Essential,N/A,NAT,2000,0.38,0.36,0.1,0.06,0.1,0
2016-10-07,2016-10-17,Essential,N/A,NAT,2000,0.37,0.37,0.11,0.05,0.1,0
2016-10-20,2016-10-23,Newspoll,N/A,NAT,1673,0.39,0.37,0.1,0.06,0.08,0
2016-10-14,2016-10-24,Essential,N/A,NAT,2000,0.38,0.37,0.1,0.06,0.09,0
2016-10-21,2016-10-31,Essential,N/A,NAT,2000,0.38,0.37,0.1,0.06,0.09,0
2016-11-03,2016-11-06,Newspoll,N/A,NAT,1846,0.39,0.38,0.1,0.06,0.07,0
2016-10-28,2016-11-07,Essential,N/A,NAT,2000,0.38,0.37,0.1,0.06,0.09,0
2016-11-04,2016-11-14,Essential,N/A,NAT,2000,0.37,0.37,0.11,0.06,0.09,0
2016-11-17,2016-11-20,Newspoll,N/A,NAT,1846,0.38,0.38,0.1,0.06,0.08,0
2016-11-11,2016-11-21,Essential,N/A,NAT,2000,0.38,0.37,0.1,0.06,0.09,0
2016-11-24,2016-11-26,Ipsos,N/A,NAT,1403,0.36,0.3,0.16,0.06,0.12,0
2016-11-18,2016-11-28,Essential,N/A,NAT,2000,0.39,0.36,0.09,0.07,0.09,0
2016-11-24,2016-12-04,Essential,N/A,NAT,2000,0.38,0.36,0.09,0.08,0.09,0
2016-12-01,2016-12-04,Newspoll,N/A,NAT,1629,0.39,0.36,0.1,0.06,0.09,0
2016-12-01,2016-12-11,Essential,N/A,NAT,2000,0.37,0.37,0.09,0.07,0.1,0
2016-12-08,2016-12-18,Essential,N/A,NAT,2000,0.37,0.37,0.1,0.08,0.08,0
2017-01-20,2017-01-23,Essential,N/A,NAT,2000,0.35,0.37,0.1,0.09,0.09,0
2017-01-20,2017-01-30,Essential,N/A,NAT,2000,0.35,0.37,0.09,0.1,0.09,0
2017-01-26,2017-02-05,Essential,N/A,NAT,2000,0.36,0.37,0.08,0.1,0.09,0
2017-02-02,2017-02-05,Newspoll,N/A,NAT,1734,0.35,0.36,0.1,0.06,0.13,0
2017-02-02,2017-02-12,Essential,N/A,NAT,2000,0.36,0.35,0.09,0.1,0.1,0
2017-02-09,2017-02-19,Essential,N/A,NAT,2000,0.36,0.34,0.1,0.1,0.1,0
2017-02-23,2017-02-26,Newspoll,N/A,NAT,1582,0.34,0.37,0.1,0.1,0.09,0
2017-02-16,2017-02-27,Essential,N/A,NAT,2000,0.37,0.37,0.09,0.09,0.08,0
2017-02-21,2017-03-06,Essential,N/A,NAT,2000,0.37,0.37,0.09,0.09,0.08,0
2017-02-28,2017-03-13,Essential,N/A,NAT,2000,0.35,0.36,0.09,0.11,0.09,0
