Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,IND,UND
2019-07-25,2019-07-28,Newspoll,Online/IVR,NAT,1601,0.44,0.33,0.11,0.03,0.09,0
2019-08-15,2019-08-18,Newspoll,Online/IVR,NAT,1623,0.42,0.34,0.11,0.04,0.09,0
2019-09-05,2019-09-07,Newspoll,Online/IVR,NAT,1661,0.43,0.35,0.12,0.05,0.05,0
2019-09-26,2019-09-28,Newspoll,Online/IVR,NAT,1658,0.42,0.33,0.13,0.06,0.06,0
2019-10-17,2019-10-19,Newspoll,Online/IVR,NAT,1634,0.42,0.33,0.13,0.06,0.06,0
2019-11-07,2019-11-10,Newspoll,Online/IVR,NAT,1682,0.4,0.35,0.12,0.07,0.06,0
2019-11-20,2019-11-23,Newspoll,Online,NAT,1519,0.41,0.33,0.12,0.05,0.09,0
2019-12-04,2019-12-08,Newspoll,Online,NAT,1503,0.42,0.33,0.11,0.05,0.09,0
2020-01-07,2020-01-11,Essential,Online,NAT,1081,0.36,0.35,0.1,0.05,0.08,0.06
2020-01-08,2020-01-11,Newspoll,Online,NAT,1505,0.4,0.36,0.12,0.04,0.08,0
2020-01-21,2020-01-25,Essential,Online,NAT,1080,0.37,0.35,0.09,0.06,0.06,0.07
2020-01-29,2020-02-01,Newspoll,Online,NAT,1510,0.38,0.35,0.13,0.04,0.1,0
2020-02-04,2020-02-08,Essential,Online,NAT,1056,0.34,0.36,0.1,0.06,0.07,0.07
2020-02-18,2020-02-22,Essential,Online,NAT,1090,0.38,0.36,0.1,0.04,0.05,0.07
2020-02-19,2020-02-22,Newspoll,Online,NAT,1513,0.38,0.34,0.13,0.04,0.11,0
2020-03-05,2020-03-08,Essential,Online,NAT,1096,0.38,0.35,0.08,0.05,0.07,0.07
2020-03-11,2020-03-14,Newspoll,Online,NAT,1501,0.4,0.36,0.12,0.04,0.08,0
2020-03-18,2020-03-21,Essential,Online,NAT,1034,0.37,0.34,0.1,0.03,0.08,0.08
2020-03-25,2020-03-28,Essential,Online,NAT,1086,0.38,0.34,0.1,0.04,0.06,0.08
2020-04-01,2020-04-04,Newspoll,Online,NAT,1508,0.42,0.34,0.13,0.05,0.06,0
