Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND
2019-07-25,2019-07-28,Newspoll,Online/IVR,NAT,1601,44,33,11,3,0
2019-08-15,2019-08-18,Newspoll,Online/IVR,NAT,1623,42,34,11,4,0
2019-09-05,2019-09-07,Newspoll,Online/IVR,NAT,1661,43,35,12,5,0
2019-09-26,2019-09-28,Newspoll,Online/IVR,NAT,1658,42,33,13,6,0
2019-10-17,2019-10-19,Newspoll,Online/IVR,NAT,1634,42,33,13,6,0
2019-11-07,2019-11-10,Newspoll,Online/IVR,NAT,1682,40,35,12,7,0
2019-11-20,2019-11-23,Newspoll,Online,NAT,1519,41,33,12,5,0
2019-12-04,2019-12-08,Newspoll,Online,NAT,1503,42,33,11,5,0
2020-01-07,2020-01-11,Essential Research,Online,NAT,1081,36,35,10,5,6
2020-01-08,2020-01-11,Newspoll,Online,NAT,1505,40,36,12,4,0
2020-01-21,2020-01-25,Essential Research,Online,NAT,1080,37,35,9,6,7
2020-01-29,2020-02-01,Newspoll,Online,NAT,1510,38,35,13,4,0
2020-02-04,2020-02-08,Essential Research,Online,NAT,1056,34,36,10,6,7
2020-02-18,2020-02-22,Essential Research,Online,NAT,1090,38,36,10,4,7
2020-02-19,2020-02-22,Newspoll,Online,NAT,1513,38,34,13,4,0
2020-03-05,2020-03-08,Essential Research,Online,NAT,1096,38,35,8,5,7
2020-03-11,2020-03-14,Newspoll,Online,NAT,1501,40,36,12,4,0
2020-03-18,2020-03-21,Essential Research,Online,NAT,1034,37,34,10,3,8
2020-03-25,2020-03-28,Essential Research,Online,NAT,1086,38,34,10,4,8
2020-04-01,2020-04-04,Newspoll,Online,NAT,1508,42,34,13,5,0
2020-04-02,2020-04-05,Essential Research,Online,NAT,1069,36,35,10,3,8
2020-03-18,2020-05-23,Essential Research,Online,NAT,1068,38,35,10,5,7
2020-04-18,2020-04-26,Roy Morgan,Online/Phone,NAT,2806,43.5,33,11.5,3,0
2020-04-22,2020-04-25,Newspoll,Online,NAT,1519,41,36,12,4,0
2020-03-25,2020-05-30,Essential Research,Online,NAT,1068,40,32,10,5,7
2020-04-25,2020-05-03,Essential Research,Online,NAT,1054,40,34,10,4,7
2020-04-30,2020-05-03,Essential Research,Online,NAT,1093,38,34,10,4,8
2020-05-07,2020-05-10,Essential Research,Online,NAT,1067,41,31,9,3,8
2020-05-13,2020-05-16,Newspoll,Online,NAT,1504,43,35,10,3,0
2020-05-13,2020-05-16,Essential Research,Online,NAT,1073,38,35,8,3,9
2020-05-20,2020-05-23,Essential Research,Online,NAT,1087,39,33,11,5,7
2020-05-28,2020-05-31,Essential Research,Online,NAT,1059,39,32,10,5,7
2020-06-03,2020-06-06,Newspoll,Online,NAT,1512,42,34,12,4,0
2020-06-03,2020-06-07,Essential Research,Online,NAT,1073,40,33,9,4,8
2020-06-10,2020-06-14,Essential Research,Online,NAT,1087,38,35,9,5,7
2020-06-13,2020-06-21,Roy Morgan,Online/Phone,NAT,2593,42.5,34.5,10.5,4,0
2020-06-17,2020-06-21,Essential Research,Online,NAT,1079,39,33,10,5,7
2020-06-24,2020-06-27,Newspoll,Online,NAT,1521,42,35,11,3,0
2020-06-24,2020-06-28,Essential Research,Online,NAT,1058,39,33,9,4,8
2020-07-08,2020-07-12,Essential Research,Online,NAT,1054,37,34,10,4,9
2020-07-11,2020-07-19,Roy Morgan,Online/Phone,NAT,2589,43.5,33.5,11,2.5,0
2020-07-15,2020-07-18,Newspoll,Online,NAT,1850,44,34,10,4,0
2020-07-23,2020-07-26,Essential Research,Online,NAT,1058,38,35,9,4,8
2020-08-05,2020-08-08,Newspoll,Online,NAT,1509,43,33,11,4,0
2020-08-06,2020-08-09,Essential Research,Online,NAT,1010,38,34,9,4,10
2020-08-08,2020-08-16,Roy Morgan,Online/Phone,NAT,2841,46,32.5,11,3,0
2020-08-20,2020-08-23,Essential Research,Online,NAT,1050,39,35,9,4,7
2020-08-26,2020-08-29,Newspoll,Online,NAT,1507,41,36,11,3,0
2020-09-03,2020-09-06,Essential Research,Online,NAT,1076,38,32,10,3,8
2020-09-16,2020-09-19,Newspoll,Online,NAT,2068,43,34,12,3,0
2020-09-17,2020-09-21,Essential Research,Online,NAT,1050,41,31,10,4,9
2020-10-01,2020-10-05,Essential Research,Online,NAT,1050,39,34,9,5,7
2020-10-07,2020-10-10,Newspoll,Online,NAT,1527,44,34,11,3,0
2020-10-08,2020-10-12,Essential Research,Online,NAT,1050,40,33,9,3,8
2020-10-15,2020-10-19,Essential Research,Online,NAT,1082,39,35,9,3,8
