Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,IND,UND
2019-11-07,2019-12-08,Newspoll,Online,NSW,1472,0.42,0.35,0.1,0.02,0.06,0.05
2020-01-07,2020-01-11,Essential,Online,NSW,349,0.41,0.33,0.08,0.03,0.08,0.07
2020-01-21,2020-01-25,Essential,Online,NSW,349,0.39,0.36,0.08,0.05,0.05,0.07
2020-02-04,2020-02-08,Essential,Online,NSW,341,0.39,0.34,0.09,0.05,0.08,0.05
2020-02-18,2020-02-22,Essential,Online,NSW,352,0.39,0.39,0.08,0.05,0.05,0.04
2020-03-05,2020-03-08,Essential,Online,NSW,354,0.38,0.37,0.08,0.04,0.07,0.06
2020-03-18,2020-03-21,Essential,Online,NSW,334,0.35,0.37,0.11,0.03,0.09,0.05
2020-03-25,2020-03-28,Essential,Online,NSW,351,0.35,0.37,0.1,0.03,0.07,0.08
2020-04-02,2020-04-05,Essential,Online,NSW,345,0.38,0.36,0.09,0.04,0.07,0.06
2020-04-30,2020-05-03,Essential,Online,NSW,353,0.41,0.34,0.09,0.04,0.1,0.02
2020-04-25,2020-05-03,Essential,Online,NSW,340,0.43,0.3,0.12,0.03,0.05,0.07
2020-05-07,2020-05-10,Essential,Online,NSW,345,0.4,0.32,0.07,0.04,0.09,0.08
2020-05-13,2020-05-16,Essential,Online,NSW,347,0.39,0.37,0.06,0.03,0.1,0.05
2020-03-11,2020-05-16,Newspoll,Online,NSW,1905,0.42,0.36,0.11,0.02,0.06,0.03
2020-03-18,2020-05-23,Essential,Online,NSW,345,0.35,0.37,0.11,0.03,0.09,0.05
2020-05-20,2020-05-23,Essential,Online,NSW,351,0.41,0.34,0.08,0.05,0.06,0.06
2020-03-25,2020-05-30,Essential,Online,NSW,345,0.35,0.37,0.1,0.03,0.07,0.08
2020-05-28,2020-05-31,Essential,Online,NSW,342,0.41,0.3,0.09,0.06,0.05,0.09
2020-06-03,2020-06-07,Essential,Online,NSW,347,0.38,0.32,0.1,0.06,0.07,0.07
2020-06-10,2020-06-14,Essential,Online,NSW,351,0.37,0.4,0.07,0.06,0.07,0.03
2020-06-17,2020-06-21,Essential,Online,NSW,349,0.43,0.3,0.08,0.06,0.07,0.06
2020-06-24,2020-06-28,Essential,Online,NSW,342,0.4,0.31,0.11,0.04,0.08,0.06
2020-07-08,2020-07-12,Essential,Online,NSW,340,0.37,0.37,0.1,0.04,0.08,0.04
2020-07-23,2020-07-26,Essential,Online,NSW,342,0.46,0.32,0.09,0.02,0.06,0.05
2020-06-03,2020-08-08,Newspoll,Online,NSW,1813,0.42,0.37,0.11,0.01,0.06,0.03
2020-08-06,2020-08-09,Essential,Online,NSW,326,0.36,0.37,0.08,0.04,0.11,0.04
2020-08-20,2020-08-23,Essential,Online,NSW,339,0.4,0.34,0.08,0.04,0.08,0.06
2020-09-03,2020-09-06,Essential,Online,NSW,348,0.36,0.31,0.13,0.03,0.07,0.1
2020-09-17,2020-09-21,Essential,Online,NSW,339,0.43,0.32,0.08,0.05,0.06,0.06
2020-10-01,2020-10-05,Essential,Online,NSW,339,0.41,0.36,0.06,0.06,0.07,0.04
2020-10-08,2020-10-12,Essential,Online,NSW,339,0.4,0.36,0.07,0.04,0.08,0.05
2020-10-15,2020-10-19,Essential,Online,NSW,349,0.4,0.35,0.07,0.03,0.08,0.07
2020-10-29,2020-11-02,Essential,Online,NSW,343,0.41,0.33,0.09,0.04,0.08,0.05
2020-11-11,2020-11-16,Essential,Online,NSW,326,0.4,0.35,0.08,0.04,0.08,0.05
2020-08-26,2020-11-28,Newspoll,Online,NSW,2304,0.44,0.36,0.11,0.01,0.06,0.02
2020-11-25,2020-11-30,Essential,Online,NSW,334,0.47,0.28,0.08,0.05,0.06,0.06
2020-12-09,2020-12-14,Essential,Online,NSW,346,0.39,0.36,0.06,0.05,0.07,0.07
2021-01-13,2021-01-18,Essential,Online,NSW,350,0.41,0.29,0.11,0.03,0.07,0.09
2021-01-27,2021-02-01,Essential,Online,NSW,353,0.4,0.31,0.09,0.03,0.08,0.09
2021-02-10,2021-02-15,Essential,Online,NSW,358,0.39,0.34,0.09,0.05,0.08,0.05
2021-02-24,2021-03-01,Essential,Online,NSW,347,0.39,0.34,0.07,0.05,0.1,0.05
2021-03-10,2021-03-15,Essential,Online,NSW,363,0.45,0.27,0.09,0.03,0.06,0.1
2021-01-27,2021-03-27,Newspoll,Online,NSW,1779,0.42,0.36,0.11,0.01,0.06,0.04
2021-03-24,2021-03-28,Essential,Online,NSW,355,0.41,0.31,0.09,0.01,0.1,0.08
2021-04-07,2021-04-12,Essential,Online,NSW,442,0.41,0.27,0.07,0.03,0.1,0.12
2021-04-12,2021-04-16,Resolve Strategic,Online/Phone,NSW,646,0.41,0.29,0.12,0.07,0.06,0.05
2021-04-21,2021-04-26,Essential,Online,NSW,352,0.41,0.32,0.07,0.04,0.07,0.09
2021-05-05,2021-05-10,Essential,Online,NSW,353,0.43,0.32,0.09,0.04,0.08,0.04
2021-05-12,2021-05-16,Resolve Strategic,Online,NSW,524,0.39,0.36,0.12,0.01,0.06,0.06
2021-05-19,2021-05-24,Essential,Online,NSW,355,0.38,0.32,0.11,0.04,0.08,0.07
2021-06-02,2021-06-06,Essential,Online,NSW,357,0.44,0.26,0.11,0.03,0.09,0.07
2021-06-08,2021-06-12,Resolve Strategic,Online,NSW,517,0.46,0.32,0.1,0.01,0.06,0.05
2021-06-16,2021-06-20,Essential,Online,NSW,351,0.43,0.32,0.08,0.05,0.08,0.04
2021-04-21,2021-06-26,Newspoll,Online,NSW,1861,0.42,0.37,0.11,0.01,0.06,0.03
2021-06-30,2021-07-04,Essential,Online,NSW,355,0.45,0.3,0.09,0.02,0.09,0.05
2021-07-13,2021-07-17,Resolve Strategic,Online,NSW,519,0.38,0.33,0.12,0.01,0.06,0.1
2021-07-14,2021-07-18,Essential,Online,NSW,355,0.42,0.3,0.1,0.04,0.08,0.06
2021-07-28,2021-08-01,Essential,Online,NSW,341,0.4,0.34,0.07,0.05,0.08,0.06
2021-08-11,2021-08-15,Essential,Online,NSW,355,0.39,0.34,0.1,0.04,0.08,0.05
2021-08-17,2021-08-21,Resolve Strategic,Online,NSW,519,0.4,0.31,0.14,0.03,0.06,0.06
2021-08-25,2021-08-29,Essential,Online,NSW,355,0.4,0.34,0.09,0.04,0.07,0.06
2021-09-08,2021-09-12,Essential,Online,NSW,355,0.41,0.3,0.08,0.05,0.08,0.08
2021-07-14,2021-09-18,Newspoll,Online,NSW,2057,0.39,0.38,0.11,0.01,0.06,0.05
2021-09-15,2021-09-19,Resolve Strategic,Online,NSW,519,0.43,0.31,0.1,0.02,0.06,0.08
2021-09-22,2021-09-26,Essential,Online,NSW,353,0.38,0.34,0.1,0.04,0.08,0.06
2021-10-06,2021-10-10,Essential,Online,NSW,354,0.39,0.32,0.07,0.06,0.08,0.08
2021-10-20,2021-10-24,Essential,Online,NSW,575,0.39,0.33,0.09,0.04,0.06,0.09
2021-10-20,2021-10-24,Resolve Strategic,Online,NSW,575,0.4,0.34,0.11,0,0.06,0.09
2021-11-03,2021-11-07,Essential,Online,NSW,352,0.4,0.34,0.09,0.03,0.09,0.05
2021-11-17,2021-11-21,Resolve Strategic,Online,NSW,575,0.41,0.29,0.11,0.02,0.06,0.11
2021-11-17,2021-11-21,Essential,Online,NSW,354,0.41,0.33,0.08,0.04,0.07,0.07
2021-09-29,2021-12-04,Newspoll,Online,NSW,2057,0.37,0.38,0.11,0.01,0.06,0.07
2021-12-01,2021-12-06,Essential,Voting,NSW,353,0.41,0.35,0.08,0.03,0.09,0.04
2021-12-08,2021-12-13,Essential,Voting,NSW,354,0.4,0.34,0.09,0.03,0.09,0.05
2022-01-11,2022-01-15,Resolve Strategic,Online,NSW,519,0.38,0.36,0.1,0,0.06,0.1
2022-01-20,2022-01-23,Essential,Online,NSW,323,0.39,0.36,0.08,0.02,0.07,0.08
2022-02-03,2022-02-06,Essential,Online,NSW,345,0.4,0.32,0.1,0.03,0.08,0.07
2022-02-15,2022-02-20,Resolve Strategic,Online,NSW,518,0.34,0.35,0.08,0.03,0.06,0.14
2022-02-17,2022-02-20,Essential,Online,NSW,352,0.37,0.35,0.08,0.05,0.09,0.06
2022-03-03,2022-03-06,Essential,Online,NSW,352,0.39,0.37,0.1,0.03,0.05,0.06
2022-01-25,2022-03-12,Newspoll,Online,NSW,1973,0.36,0.41,0.08,0.01,0.06,0.08
2022-03-17,2022-03-20,Essential,Online,NSW,352,0.42,0.34,0.07,0.03,0.09,0.05
2022-03-30,2022-04-03,Ipsos,Online/Phone,NSW,829,0.34,0.35,0.1,0.04,0.07,0.1
2022-03-30,2022-04-03,Resolve Strategic,Online,NSW,523,0.36,0.36,0.11,0.01,0.06,0.1
2022-03-30,2022-04-05,Essential,Online,NSW,318,0.38,0.37,0.09,0.02,0.05,0.09
