Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,IND,UND
2019-11-07,2019-12-08,Newspoll,Online,QLD,877,0.4,0.29,0.12,0.13,0,0.06
2020-01-07,2020-01-11,Essential,Online,QLD,208,0.37,0.34,0.09,0.07,0.07,0.06
2020-01-21,2020-01-25,Essential,Online,QLD,207,0.4,0.31,0.07,0.1,0.07,0.05
2020-02-04,2020-02-08,Essential,Online,QLD,203,0.32,0.35,0.12,0.08,0.07,0.06
2020-02-18,2020-02-22,Essential,Online,QLD,209,0.38,0.33,0.11,0.05,0.05,0.08
2020-03-05,2020-03-08,Essential,Online,QLD,210,0.39,0.25,0.1,0.11,0.08,0.07
2020-03-18,2020-03-21,Essential,Online,QLD,199,0.4,0.29,0.11,0.04,0.09,0.07
2020-03-25,2020-03-28,Essential,Online,QLD,209,0.39,0.29,0.1,0.08,0.05,0.09
2020-04-02,2020-04-05,Essential,Online,QLD,205,0.37,0.35,0.11,0.03,0.07,0.07
2020-04-25,2020-05-03,Essential,Online,QLD,202,0.35,0.35,0.1,0.04,0.07,0.09
2020-04-30,2020-05-03,Essential,Online,QLD,210,0.39,0.31,0.13,0.05,0.06,0.06
2020-05-07,2020-05-10,Essential,Online,QLD,205,0.47,0.25,0.11,0.04,0.05,0.08
2020-05-13,2020-05-16,Essential,Online,QLD,206,0.39,0.31,0.08,0.04,0.08,0.1
2020-03-11,2020-05-16,Newspoll,Online,QLD,1160,0.42,0.28,0.13,0.11,0.06,0
2020-03-18,2020-05-23,Essential,Online,QLD,205,0.4,0.29,0.11,0.04,0.09,0.07
2020-05-20,2020-05-23,Essential,Online,QLD,209,0.41,0.32,0.08,0.07,0.04,0.08
2020-03-25,2020-05-30,Essential,Online,QLD,205,0.39,0.29,0.1,0.08,0.05,0.09
2020-05-28,2020-05-31,Essential,Online,QLD,203,0.41,0.27,0.1,0.04,0.08,0.1
2020-06-03,2020-06-07,Essential,Online,QLD,206,0.42,0.32,0.09,0.03,0.04,0.1
2020-06-10,2020-06-14,Essential,Online,QLD,209,0.41,0.3,0.08,0.05,0.1,0.06
2020-06-17,2020-06-21,Essential,Online,QLD,207,0.39,0.33,0.12,0.05,0.04,0.07
2020-06-24,2020-06-28,Essential,Online,QLD,203,0.42,0.31,0.08,0.05,0.06,0.08
2020-07-08,2020-07-12,Essential,Online,QLD,202,0.42,0.28,0.11,0.04,0.09,0.06
2020-07-23,2020-07-26,Essential,Online,QLD,203,0.35,0.34,0.12,0.05,0.06,0.08
2020-06-03,2020-08-08,Newspoll,Online,QLD,1479,0.46,0.27,0.1,0.11,0.06,0
2020-08-06,2020-08-09,Essential,Online,QLD,194,0.44,0.26,0.08,0.05,0.07,0.1
2020-08-20,2020-08-23,Essential,Online,QLD,202,0.39,0.33,0.09,0.07,0.03,0.09
2020-09-03,2020-09-06,Essential,Online,QLD,207,0.38,0.3,0.1,0.03,0.08,0.11
2020-09-17,2020-09-21,Essential,Online,QLD,202,0.4,0.29,0.1,0.05,0.04,0.12
