Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,IND,UND
2019-11-07,2019-12-08,Newspoll,Online,VIC,1170,0.4,0.38,0.12,0.01,0.02,0.07
2020-01-07,2020-01-11,Essential,Online,VIC,277,0.32,0.41,0.1,0.04,0.08,0.05
2020-01-21,2020-01-25,Essential,Online,VIC,276,0.34,0.37,0.09,0.05,0.06,0.09
2020-02-04,2020-02-08,Essential,Online,VIC,270,0.33,0.4,0.08,0.05,0.07,0.07
2020-02-18,2020-02-22,Essential,Online,VIC,279,0.38,0.34,0.12,0.03,0.05,0.08
2020-03-05,2020-03-08,Essential,Online,VIC,281,0.35,0.38,0.07,0.04,0.09,0.07
2020-03-18,2020-03-21,Essential,Online,VIC,265,0.36,0.34,0.09,0.02,0.11,0.08
2020-03-25,2020-03-28,Essential,Online,VIC,278,0.35,0.38,0.11,0.02,0.05,0.09
2020-04-02,2020-04-05,Essential,Online,VIC,274,0.37,0.3,0.12,0.04,0.06,0.11
2020-04-25,2020-05-03,Essential,Online,VIC,270,0.36,0.4,0.08,0.04,0.04,0.08
2020-04-30,2020-05-03,Essential,Online,VIC,280,0.38,0.33,0.12,0.05,0.06,0.06
2020-05-07,2020-05-10,Essential,Online,VIC,273,0.42,0.34,0.08,0.03,0.06,0.07
2020-05-13,2020-05-16,Essential,Online,VIC,275,0.32,0.39,0.11,0.03,0.05,0.1
2020-03-11,2020-05-16,Newspoll,Online,VIC,1547,0.39,0.4,0.13,0.01,0,0.07
2020-03-18,2020-05-23,Essential,Online,VIC,273,0.36,0.34,0.09,0.02,0.11,0.08
2020-05-20,2020-05-23,Essential,Online,VIC,278,0.41,0.34,0.13,0.02,0.02,0.08
2020-03-25,2020-05-30,Essential,Online,VIC,273,0.35,0.38,0.11,0.02,0.05,0.09
2020-05-28,2020-05-31,Essential,Online,VIC,271,0.39,0.34,0.1,0.03,0.06,0.08
2020-06-03,2020-06-07,Essential,Online,VIC,275,0.35,0.37,0.1,0.03,0.07,0.08
2020-06-10,2020-06-14,Essential,Online,VIC,278,0.41,0.36,0.11,0.03,0.04,0.05
2020-06-17,2020-06-21,Essential,Online,VIC,276,0.36,0.35,0.13,0.02,0.08,0.06
2020-06-24,2020-06-28,Essential,Online,VIC,271,0.39,0.35,0.08,0.03,0.07,0.08
2020-07-08,2020-07-12,Essential,Online,VIC,270,0.35,0.37,0.12,0.02,0.05,0.09
2020-07-23,2020-07-26,Essential,Online,VIC,271,0.35,0.39,0.09,0.04,0.07,0.06
2020-06-03,2020-08-08,Newspoll,Online,VIC,1700,0.37,0.4,0.14,0.01,0.01,0.07
2020-08-06,2020-08-09,Essential,Online,VIC,259,0.38,0.38,0.07,0.03,0.05,0.09
2020-08-20,2020-08-23,Essential,Online,VIC,269,0.38,0.37,0.11,0.02,0.06,0.06
2020-09-03,2020-09-06,Essential,Online,VIC,275,0.4,0.36,0.09,0.02,0.06,0.07
2020-09-17,2020-09-21,Essential,Online,VIC,269,0.38,0.32,0.1,0.02,0.06,0.12
2020-10-01,2020-10-05,Essential,Online,VIC,269,0.43,0.33,0.12,0.02,0.05,0.05
2020-10-08,2020-10-12,Essential,Online,VIC,269,0.36,0.38,0.1,0.02,0.05,0.09
2020-10-15,2020-10-19,Essential,Online,VIC,277,0.41,0.34,0.08,0.04,0.04,0.09
2020-10-29,2020-11-02,Essential,Online,VIC,272,0.34,0.37,0.12,0.02,0.05,0.1
2020-11-11,2020-11-16,Essential,Online,VIC,259,0.4,0.34,0.11,0.03,0.05,0.07
2020-08-26,2020-11-28,Newspoll,Online,VIC,2160,0.39,0.39,0.14,0,0.01,0.07
2020-11-25,2020-11-30,Essential,Online,VIC,265,0.39,0.34,0.1,0.03,0.03,0.11
2020-12-09,2020-12-14,Essential,Online,VIC,274,0.37,0.37,0.11,0.01,0.07,0.07
2021-01-13,2021-01-18,Essential,Online,VIC,278,0.38,0.36,0.11,0.03,0.06,0.06
2021-01-27,2021-02-01,Essential,Online,VIC,280,0.37,0.4,0.11,0.01,0.06,0.05
2021-02-10,2021-02-15,Essential,Online,VIC,284,0.38,0.35,0.07,0.04,0.08,0.08
2021-02-24,2021-03-01,Essential,Online,VIC,275,0.38,0.35,0.11,0.01,0.08,0.07
2021-03-10,2021-03-15,Essential,Online,VIC,288,0.37,0.35,0.09,0.02,0.09,0.08
2021-01-27,2021-03-27,Newspoll,Online,VIC,1506,0.4,0.39,0.1,0.01,0.03,0.07
2021-03-24,2021-03-28,Essential,Online,VIC,282,0.4,0.37,0.09,0.03,0.05,0.06
2021-04-07,2021-04-12,Essential,Online,VIC,350,0.36,0.37,0.11,0.04,0.06,0.06
2021-04-12,2021-04-16,Resolve Strategic,Online/Phone,VIC,512,0.33,0.34,0.12,0.06,0.08,0.07
2021-04-21,2021-04-26,Essential,Online,VIC,279,0.35,0.39,0.1,0.04,0.04,0.08
2021-05-05,2021-05-10,Essential,Online,VIC,280,0.4,0.36,0.05,0.02,0.07,0.1
2021-05-12,2021-05-16,Resolve Strategic,Online,VIC,415,0.41,0.34,0.12,0,0.06,0.07
2021-05-19,2021-05-24,Essential,Online,VIC,282,0.35,0.37,0.12,0.02,0.06,0.08
2021-06-02,2021-06-06,Essential,Online,VIC,283,0.34,0.38,0.1,0.02,0.07,0.09
2021-06-08,2021-06-12,Resolve Strategic,Online,VIC,410,0.37,0.37,0.1,0.01,0.08,0.07
2021-06-16,2021-06-20,Essential,Online,VIC,278,0.35,0.37,0.12,0.01,0.05,0.1
2021-04-21,2021-06-26,Newspoll,Online,VIC,1536,0.4,0.37,0.13,0.01,0.02,0.07
2021-06-30,2021-07-04,Essential,Online,VIC,281,0.36,0.35,0.09,0.04,0.07,0.09
2021-07-13,2021-07-17,Resolve Strategic,Online,VIC,411,0.35,0.4,0.11,0,0.07,0.07
2021-07-14,2021-07-18,Essential,Online,VIC,282,0.36,0.39,0.08,0.03,0.06,0.08
2021-07-28,2021-08-01,Essential,Online,VIC,271,0.36,0.36,0.09,0.03,0.09,0.07
2021-08-11,2021-08-15,Essential,Online,VIC,282,0.36,0.4,0.07,0.02,0.07,0.08
2021-08-17,2021-08-21,Resolve Strategic,Online,VIC,411,0.39,0.33,0.13,0,0.08,0.07
2021-08-25,2021-08-29,Essential,Online,VIC,282,0.38,0.34,0.1,0.03,0.07,0.08
2021-09-08,2021-09-12,Essential,Online,VIC,282,0.4,0.34,0.09,0.02,0.08,0.07
2021-07-14,2021-09-18,Newspoll,Online,VIC,1731,0.35,0.42,0.12,0,0.04,0.07
2021-09-15,2021-09-19,Resolve Strategic,Online,VIC,411,0.38,0.33,0.11,0.02,0.09,0.07
2021-09-22,2021-09-26,Essential,Online,VIC,280,0.42,0.36,0.08,0.03,0.06,0.05
2021-10-06,2021-10-10,Essential,Online,VIC,281,0.34,0.36,0.09,0.02,0.08,0.11
2021-10-20,2021-10-24,Essential,Online,VIC,456,0.34,0.39,0.1,0.02,0.09,0.06
2021-10-20,2021-10-24,Resolve Strategic,Online,VIC,456,0.36,0.33,0.13,0.01,0.1,0.07
2021-11-03,2021-11-07,Essential,Online,VIC,279,0.4,0.38,0.07,0.01,0.06,0.08
2021-11-17,2021-11-21,Resolve Strategic,Online,VIC,456,0.37,0.35,0.12,0,0.09,0.07
