Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,IND,UND
2020-01-07,2020-01-11,Essential,Online,WA,105,0.37,0.32,0.13,0.04,0.05,0.09
2020-01-21,2020-01-25,Essential,Online,WA,105,0.37,0.3,0.15,0.03,0.06,0.09
2020-02-04,2020-02-08,Essential,Online,WA,102,0.37,0.31,0.14,0.04,0.06,0.08
2020-02-18,2020-02-22,Essential,Online,WA,106,0.37,0.33,0.14,0.04,0.05,0.07
2020-03-05,2020-03-08,Essential,Online,WA,106,0.4,0.32,0.12,0.04,0.05,0.07
2020-03-18,2020-03-21,Essential,Online,WA,100,0.42,0.32,0.12,0.04,0.03,0.07
2020-03-25,2020-03-28,Essential,Online,WA,105,0.42,0.32,0.1,0.03,0.06,0.07
2020-04-02,2020-04-05,Essential,Online,WA,104,0.41,0.35,0.09,0.04,0.04,0.07
2020-04-25,2020-05-03,Essential,Online,WA,102,0.4,0.32,0.11,0.04,0.07,0.06
2020-04-30,2020-05-03,Essential,Online,WA,106,0.41,0.32,0.1,0.05,0.05,0.07
2020-05-07,2020-05-10,Essential,Online,WA,103,0.41,0.33,0.09,0.04,0.06,0.07
2020-03-11,2020-05-16,Newspoll,Online,WA,585,0.44,0.31,0.12,0.09,0.04,0
2020-05-13,2020-05-16,Essential,Online,WA,104,0.44,0.34,0.08,0.02,0.07,0.05
2020-05-20,2020-05-23,Essential,Online,WA,105,0.44,0.32,0.1,0.02,0.06,0.06
2020-03-18,2020-05-23,Essential,Online,WA,104,0.42,0.32,0.12,0.04,0.03,0.07
2020-03-25,2020-05-30,Essential,Online,WA,104,0.42,0.32,0.1,0.03,0.06,0.07
2020-05-28,2020-05-31,Essential,Online,WA,103,0.43,0.31,0.11,0.03,0.07,0.05
2020-06-03,2020-06-07,Essential,Online,WA,104,0.42,0.32,0.11,0.04,0.06,0.05
2020-06-10,2020-06-14,Essential,Online,WA,105,0.4,0.31,0.1,0.05,0.07,0.07
2020-06-17,2020-06-21,Essential,Online,WA,105,0.39,0.33,0.1,0.05,0.05,0.08
2020-06-24,2020-06-28,Essential,Online,WA,103,0.37,0.35,0.1,0.05,0.05,0.08
2020-07-08,2020-07-12,Essential,Online,WA,102,0.38,0.35,0.1,0.05,0.04,0.08
2020-07-23,2020-07-26,Essential,Online,WA,103,0.38,0.36,0.06,0.06,0.04,0.1
2020-06-03,2020-08-08,Newspoll,Online,WA,613,0.45,0.31,0.13,0.08,0.03,0
2020-08-06,2020-08-09,Essential,Online,WA,98,0.38,0.34,0.08,0.05,0.03,0.12
2020-08-20,2020-08-23,Essential,Online,WA,102,0.41,0.34,0.07,0.04,0.03,0.11
2020-09-03,2020-09-06,Essential,Online,WA,104,0.41,0.33,0.09,0.04,0.04,0.09
2020-09-17,2020-09-21,Essential,Online,WA,102,0.44,0.34,0.07,0.03,0.05,0.07
2020-10-01,2020-10-05,Essential,Online,WA,102,0.43,0.36,0.05,0.05,0.04,0.07
2020-10-08,2020-10-12,Essential,Online,WA,102,0.48,0.31,0.07,0.04,0.03,0.07
2020-10-15,2020-10-19,Essential,Online,WA,105,0.42,0.34,0.08,0.05,0.04,0.07
2020-10-29,2020-11-02,Essential,Online,WA,103,0.44,0.32,0.08,0.04,0.05,0.07
2020-11-11,2020-11-16,Essential,Online,WA,98,0.39,0.39,0.08,0.04,0.04,0.06
2020-08-26,2020-11-28,Newspoll,Online,WA,779,0.43,0.32,0.13,0.07,0.05,0
2020-11-25,2020-11-30,Essential,Online,WA,100,0.44,0.36,0.07,0.04,0.02,0.07
2020-12-09,2020-12-14,Essential,Online,WA,104,0.42,0.36,0.07,0.05,0.04,0.06
2021-01-13,2021-01-18,Essential,Online,WA,105,0.41,0.36,0.07,0.05,0.05,0.06
2021-01-27,2021-02-01,Essential,Online,WA,106,0.38,0.39,0.05,0.04,0.06,0.08
2021-02-10,2021-02-15,Essential,Online,WA,108,0.4,0.38,0.07,0.03,0.04,0.08
2021-02-24,2021-03-01,Essential,Online,WA,104,0.4,0.37,0.06,0.03,0.05,0.09
2021-03-10,2021-03-15,Essential,Online,WA,109,0.36,0.39,0.09,0.03,0.06,0.07
2021-01-27,2021-03-27,Newspoll,Online,WA,517,0.4,0.42,0.1,0.04,0.04,0
2021-03-24,2021-03-28,Essential,Online,WA,107,0.35,0.43,0.08,0.02,0.05,0.07
2021-04-07,2021-04-12,Essential,Online,WA,133,0.33,0.45,0.08,0.01,0.07,0.06
2021-04-12,2021-04-16,Resolve Strategic,Online/Phone,WA,194,0.42,0.4,0.13,0.05,0,0
2021-04-21,2021-04-26,Essential,Online,WA,106,0.36,0.46,0.07,0.01,0.05,0.05
2021-05-05,2021-05-10,Essential,Online,WA,106,0.35,0.47,0.08,0.01,0.05,0.04
2021-05-12,2021-05-16,Resolve Strategic,Online,WA,157,0.44,0.38,0.11,0.03,0.04,0
2021-05-19,2021-05-24,Essential,Online,WA,107,0.37,0.47,0.09,0.02,0.01,0.04
2021-06-02,2021-06-06,Essential,Online,WA,107,0.34,0.48,0.1,0.03,0.01,0.04
2021-06-08,2021-06-12,Resolve Strategic,Online,WA,155,0.33,0.4,0.15,0.04,0.08,0
2021-06-16,2021-06-20,Essential,Online,WA,105,0.33,0.46,0.11,0.03,0.02,0.05
2021-04-21,2021-06-26,Newspoll,Online,WA,473,0.39,0.41,0.1,0.05,0.05,0
2021-06-30,2021-07-04,Essential,Online,WA,107,0.3,0.48,0.1,0.03,0.04,0.05
2021-07-13,2021-07-17,Resolve Strategic,Online,WA,156,0.33,0.39,0.21,0.02,0.05,0
2021-07-14,2021-07-18,Essential,Online,WA,107,0.32,0.45,0.11,0.02,0.05,0.05
2021-07-28,2021-08-01,Essential,Online,WA,103,0.33,0.44,0.08,0.03,0.05,0.07
2021-08-11,2021-08-15,Essential,Online,WA,107,0.35,0.39,0.09,0.03,0.07,0.07
2021-08-25,2021-08-29,Essential,Online,WA,107,0.37,0.39,0.08,0.03,0.06,0.07
2021-09-08,2021-09-12,Essential,Online,WA,107,0.37,0.41,0.06,0.02,0.06,0.08
2021-07-14,2021-09-18,Newspoll,Online,WA,602,0.37,0.42,0.1,0.05,0.06,0
