theDate,labor,liberal,greens,onp,ind
2019-07-28,0.33,0.44,0.11,0.03,0.08
2019-08-18,0.34,0.42,0.11,0.04,0.08
2019-09-07,0.35,0.43,0.12,0.05,0.08
2019-09-29,0.33,0.42,0.13,0.06,0.08
2019-10-20,0.33,0.42,0.13,0.06,0.08
2019-11-10,0.35,0.4,0.12,0.07,0.08
2019-11-23,0.33,0.41,0.12,0.05,0.08
2019-12-08,0.33,0.42,0.11,0.05,0.08
2020-01-11,0.36,0.4,0.12,0.04,0.08
2020-02-01,0.35,0.38,0.13,0.04,0.08
2020-02-03,0.33,0.35,0.15,0.09,0.08
2020-02-22,0.34,0.38,0.13,0.04,0.08
2020-03-14,0.36,0.4,0.12,0.04,0.08
2020-04-03,0.34,0.42,0.13,0.05,0.08
2020-04-25,0.36,0.41,0.12,0.04,0.08
2020-04-26,0.33,0.44,0.12,0.03,0.08
2020-05-16,0.35,0.43,0.1,0.03,0.08
2020-06-06,0.34,0.42,0.12,0.04,0.08
2020-06-08,0.33,0.4,0.09,0.04,0.08
2020-06-15,0.35,0.38,0.09,0.05,0.07
2020-06-21,0.35,0.43,0.11,0.04,0.07
2020-06-22,0.33,0.39,0.1,0.05,0.07
2020-06-27,0.35,0.42,0.11,0.03,0.08
2020-06-29,0.33,0.39,0.09,0.04,0.08
2020-07-13,0.34,0.37,0.1,0.04,0.09
2020-07-18,0.34,0.44,0.1,0.04,0.08
2020-07-19,0.34,0.44,0.11,0.03,0.08
2020-07-26,0.35,0.38,0.09,0.04,0.08
2020-08-08,0.33,0.43,0.11,0.04,0.1
2020-08-10,0.34,0.38,0.09,0.04,0.1
2020-08-16,0.33,0.46,0.11,0.03,0.1
2020-08-24,0.35,0.39,0.09,0.04,0.07
2020-08-29,0.36,0.41,0.11,0.03,0.08
2020-09-07,0.32,0.38,0.1,0.03,0.08
2020-09-19,0.34,0.43,0.12,0.03,0.09
2020-09-21,0.31,0.41,0.1,0.04,0.09
2020-10-05,0.34,0.39,0.09,0.05,0.07
2020-10-10,0.34,0.44,0.11,0.03,0.09
2020-10-12,0.33,0.4,0.09,0.03,0.09
2020-10-19,0.35,0.39,0.09,0.03,0.08
2020-11-02,0.35,0.39,0.09,0.03,0.09
